,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,6,1,36,16,32,6,2
1,1995,7,2,33,17,33,6,2
2,1996,7,1,33,15,34,8,2
3,1997,7,1,35,15,33,7,2
4,1998,3,0,37,8,33,17,2
5,1999,4,0,38,9,35,11,3
6,2000,4,1,37,10,34,11,3
7,2001,4,1,38,11,33,11,2
8,2002,4,1,39,12,33,9,2
9,2003,4,1,38,12,32,10,3
10,2004,3,0,39,11,35,10,2
11,2005,3,1,39,12,34,8,3
12,2006,3,1,41,12,32,8,3
13,2007,3,1,40,12,33,8,3
14,2008,3,0,37,12,32,8,7
15,2009,3,0,38,12,32,7,7
16,2010,3,1,37,11,30,7,11
17,2011,3,1,39,12,29,3,13
18,2012,3,1,40,14,27,4,11
19,2013,3,1,38,12,27,4,15
20,2014,3,1,39,14,27,4,13
21,2015,3,1,40,14,26,5,11
22,2016,3,1,41,14,27,5,8
23,2017,3,1,40,15,27,5,9
24,2018,4,0,40,16,23,5,11
25,2019,4,1,42,16,23,5,11
26,2020,5,0,40,22,18,5,10
27,2021,5,1,37,22,20,4,10
28,2022,5,1,39,22,20,4,9
29,2023,5,1,38,24,19,4,8
