,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,4,1,32,13,44,6,1
1,1995,4,1,31,13,44,6,1
2,1996,4,1,32,12,43,7,1
3,1997,4,1,32,12,44,6,1
4,1998,3,1,32,10,38,15,1
5,1999,3,1,34,9,43,9,1
6,2000,3,1,35,10,41,9,1
7,2001,3,1,36,11,40,9,1
8,2002,2,1,36,11,41,8,1
9,2003,3,1,35,12,39,9,1
10,2004,2,1,37,12,37,9,1
11,2005,3,1,38,12,38,7,2
12,2006,3,1,39,12,36,7,2
13,2007,3,1,38,14,36,7,2
14,2008,3,0,37,15,35,7,2
15,2009,3,1,38,16,34,6,3
16,2010,3,1,38,16,32,6,4
17,2011,3,1,39,17,31,3,7
18,2012,3,1,39,16,30,3,10
19,2013,3,1,36,15,28,4,14
20,2014,2,1,35,16,25,3,17
21,2015,3,1,32,16,23,3,23
22,2016,3,0,30,17,23,3,23
23,2017,3,0,29,17,21,3,27
24,2018,3,0,29,18,20,3,27
25,2019,3,0,32,18,21,3,23
26,2020,3,0,31,17,19,3,26
27,2021,4,0,30,17,20,3,26
28,2022,3,0,34,18,19,3,22
29,2023,3,0,34,19,18,3,22
