,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,0,0,0,0,0,0,0
1,1995,0,0,0,0,0,0,0
2,1996,0,0,0,0,0,0,0
3,1997,0,0,0,0,0,0,0
4,1998,0,0,0,0,0,0,0
5,1999,0,0,0,0,0,0,0
6,2000,0,0,0,0,0,0,0
7,2001,0,0,0,0,0,0,0
8,2002,0,0,0,0,0,0,0
9,2003,0,0,0,0,0,0,0
10,2004,0,0,0,0,0,0,0
11,2005,4,1,34,19,36,5,0
12,2006,5,1,35,20,33,6,0
13,2007,5,1,32,22,33,6,1
14,2008,5,1,30,23,34,6,1
15,2009,5,1,30,25,35,4,1
16,2010,5,1,30,25,32,5,1
17,2011,6,1,35,33,21,2,2
18,2012,6,1,34,37,17,2,2
19,2013,5,1,34,39,17,2,2
20,2014,5,1,34,40,16,2,3
21,2015,5,0,33,41,14,2,4
22,2016,5,0,29,45,13,2,4
23,2017,6,0,28,48,12,2,4
24,2018,5,0,28,50,11,2,3
25,2019,5,0,28,49,11,2,4
26,2020,6,0,26,51,10,3,4
27,2021,6,0,29,46,11,2,5
28,2022,6,0,31,42,12,2,6
29,2023,6,0,33,40,11,2,7
