,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,5,0,48,17,24,5,1
1,1995,5,1,45,19,24,5,2
2,1996,4,1,47,18,25,6,1
3,1997,4,0,49,16,24,4,2
4,1998,4,1,44,17,21,13,1
5,1999,4,1,41,16,29,7,1
6,2000,4,0,40,18,28,8,1
7,2001,4,1,38,19,29,8,2
8,2002,5,1,38,19,29,7,1
9,2003,5,0,36,19,29,8,1
10,2004,5,0,42,21,23,7,2
11,2005,4,0,38,21,29,6,1
12,2006,5,0,39,22,26,5,2
13,2007,5,1,38,22,27,5,2
14,2008,5,1,35,25,27,5,2
15,2009,5,1,36,26,26,4,1
16,2010,5,1,40,28,20,4,2
17,2011,6,0,39,31,19,2,4
18,2012,5,0,41,30,16,2,5
19,2013,5,0,40,30,16,3,7
20,2014,5,0,40,29,15,2,9
21,2015,5,0,41,29,14,3,8
22,2016,5,0,36,33,14,2,9
23,2017,5,0,38,32,13,3,8
24,2018,5,0,41,31,13,3,8
25,2019,4,0,40,31,12,2,10
26,2020,5,0,39,32,12,3,10
27,2021,5,0,37,33,11,3,10
28,2022,5,0,39,31,11,2,11
29,2023,5,0,39,31,11,3,12
