,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,6,1,39,17,30,5,2
1,1995,6,1,37,19,29,6,1
2,1996,6,1,37,16,32,7,1
3,1997,5,1,39,14,33,6,2
4,1998,3,0,39,9,31,15,2
5,1999,3,0,41,10,34,10,2
6,2000,3,0,40,11,34,10,2
7,2001,3,0,40,12,32,10,2
8,2002,3,0,41,13,32,9,2
9,2003,3,0,41,13,31,10,2
10,2004,2,0,41,12,33,9,3
11,2005,2,0,41,12,33,8,2
12,2006,2,0,44,11,31,8,3
13,2007,3,0,42,12,32,7,3
14,2008,4,0,38,13,32,8,5
15,2009,3,0,40,14,31,6,5
16,2010,3,1,38,13,29,6,10
17,2011,3,1,38,13,27,3,15
18,2012,3,1,35,14,24,3,20
19,2013,4,0,35,14,26,4,16
20,2014,4,1,35,15,26,4,16
21,2015,4,1,36,15,25,4,15
22,2016,5,1,35,16,25,4,14
23,2017,5,1,35,15,26,4,14
24,2018,5,1,37,15,24,5,14
25,2019,5,1,38,16,24,4,11
26,2020,5,1,40,16,24,5,11
27,2021,6,1,35,17,23,4,13
28,2022,7,1,36,19,22,4,10
29,2023,7,1,37,19,21,4,10
