,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,3,1,25,14,51,6,1
1,1995,3,1,23,14,51,6,2
2,1996,3,1,22,14,52,7,1
3,1997,3,1,21,15,55,3,1
4,1998,3,1,20,12,46,16,1
5,1999,2,1,22,12,51,10,1
6,2000,2,1,24,13,48,10,1
7,2001,3,1,25,14,46,10,1
8,2002,3,1,25,14,47,9,1
9,2003,2,1,24,15,46,10,1
10,2004,2,1,25,16,45,9,1
11,2005,2,1,27,16,45,7,1
12,2006,2,1,27,17,44,7,1
13,2007,3,1,27,17,44,7,2
14,2008,3,1,27,19,41,7,2
15,2009,3,1,27,20,41,5,2
16,2010,3,1,28,20,39,6,3
17,2011,3,1,29,21,38,3,5
18,2012,3,1,30,19,35,3,9
19,2013,3,1,29,19,34,4,9
20,2014,3,1,30,20,31,3,12
21,2015,3,1,31,20,29,4,12
22,2016,3,1,30,18,29,3,15
23,2017,4,1,29,19,26,3,17
24,2018,3,1,30,19,25,4,18
25,2019,3,0,30,19,23,3,21
26,2020,3,0,34,18,25,4,16
27,2021,4,0,30,21,25,3,16
28,2022,4,1,34,23,22,3,13
29,2023,4,1,34,23,22,3,12
