,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,3,1,22,16,51,7,0
1,1995,4,1,20,17,50,7,1
2,1996,4,1,20,15,51,8,0
3,1997,3,1,21,14,54,6,1
4,1998,2,1,22,13,43,18,1
5,1999,2,1,22,13,50,11,1
6,2000,3,1,24,13,47,11,0
7,2001,3,1,23,14,47,11,1
8,2002,3,1,24,14,48,10,0
9,2003,3,1,24,15,46,11,0
10,2004,2,1,25,15,46,10,1
11,2005,2,1,28,14,46,8,1
12,2006,2,1,28,16,44,7,1
13,2007,3,1,27,17,45,7,1
14,2008,3,1,26,18,44,7,1
15,2009,2,1,26,19,43,7,1
16,2010,3,1,29,20,40,6,2
17,2011,3,1,29,24,38,3,2
18,2012,4,1,29,26,34,3,3
19,2013,4,1,29,23,33,3,7
20,2014,3,1,28,24,30,3,11
21,2015,3,1,29,20,30,3,14
22,2016,4,1,29,20,30,3,13
23,2017,4,1,29,19,27,3,18
24,2018,4,1,30,17,26,3,19
25,2019,3,0,28,19,26,3,20
26,2020,4,0,31,22,24,3,15
27,2021,4,0,29,25,26,3,12
28,2022,4,1,33,24,25,3,10
29,2023,4,1,34,23,26,3,9
