,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,3,1,37,12,40,7,1
1,1995,2,1,36,11,41,7,1
2,1996,3,1,37,11,40,8,1
3,1997,3,1,37,11,41,6,1
4,1998,2,0,36,8,37,16,1
5,1999,1,0,38,9,40,10,1
6,2000,2,0,39,9,38,11,1
7,2001,1,0,39,9,37,11,1
8,2002,2,0,39,12,37,9,1
9,2003,2,0,38,12,36,10,1
10,2004,2,0,40,12,34,9,2
11,2005,2,0,41,12,35,7,2
12,2006,2,1,44,12,33,7,2
13,2007,2,0,44,13,32,7,2
14,2008,2,0,43,14,30,8,3
15,2009,2,0,46,14,28,6,4
16,2010,2,1,45,14,26,6,7
17,2011,2,0,41,16,26,2,11
18,2012,2,1,41,12,25,3,16
19,2013,2,0,38,13,26,3,17
20,2014,2,0,37,14,22,3,20
21,2015,2,0,37,13,23,4,22
22,2016,3,0,36,16,22,4,19
23,2017,3,0,36,16,22,3,19
24,2018,3,0,35,18,22,3,19
25,2019,3,0,36,18,21,3,18
26,2020,3,0,39,16,21,4,17
27,2021,4,0,34,19,22,3,16
28,2022,4,0,36,26,18,3,11
29,2023,4,1,36,26,19,3,12
